Site	Species	Treat	Block	Plot	Year	Date	Registrator	IDS	MS	IDG	X	Y	SH	NL	NL_partitioned	LL	WL	NFL	NFL1	NFL2	NFL3	NFL4	NFL5	NB	NB1	NB2	NB3	NC	NC1	NC2	NAC	NFS	Length of aks	Length of aks (partitioned)	seedl	juvinale	comment
Gud	Suc_pra	Novel	2	2	2018	04.09.2018	RG	2			6,0	8,5		17	13+4	121	32	12										13	8	5		1					1 flower stem with three heads
Gud	Hyp_mac	Novel	2	2	2018	04.09.2018	RG	1			16,5	16,5	408	70		14												16			1						
Gud	Hyp_mac	Novel	2	2	2018	04.09.2018	RG	2			17,0	7,5	47	5		4																					
Gud	Hyp_mac	Novel	2	2	2018	04.09.2018	RG	3			17,0	6,5	113	11		9																					
Gud	Hyp_mac	Novel	2	2	2018	04.09.2018	RG	4			18,0	7,5	116	12		8																					
Ulv	Car_pal	Novel	3	3	2018	13.09.2018	SO	13			16,5	6,0		6		285																					
Ulv	Car_pal	Novel	4	3	2018	13.09.2018	IA	1			29,0	19,0				29																					new shoot
Ulv	Car_pal	Novel	4	3	2018	13.09.2018	IA	2			30,0	16,5				32																					x dead new shoot
Ulv	Car_pal	Novel	4	3	2018	13.09.2018	IA	3			30,0	16,0				45																					new shoot
Ulv	Car_pal	Novel	4	3	2018	13.09.2018	IA	4			28,0	15,5		8		297																					2 shoots
Ulv	Car_pal	Novel	4	3	2018	13.09.2018	IA	5			29,0	6,5		10		345																					10 whole lot of shoot
Ulv	Car_pal	Novel	4	3	2018	13.09.2018	IA	6			28,0	9,0		4		265																	50	11+39			2 shoot with flower
Ulv	Car_pal	Novel	5	5	2018	13.09.2018	RG	1			27,0	20,5		4		142																2	54	24+30			two flower stems
Ulv	Car_pal	Novel	5	5	2018	13.09.2018	RG	2			26,5	19,0		2		158																	18				3 new shoots
Ulv	Car_pal	Novel	5	5	2018	13.09.2018	RG	3			27,0	18,0		3		275																					1 new shoots
Ulv	Car_pal	Novel	5	5	2018	13.09.2018	RG	4			29,0	19,5		1		190																					1 new shoots
Ulv	Car_pal	Novel	5	5	2018	13.09.2018	RG	5			26,0	9,0		1		144																	23				1 new shoots
Ulv	Car_pal	Novel	5	5	2018	13.09.2018	RG	6			27,5	9,5		6		203																					1 new shoots
Ulv	Car_pal	Novel	5	5	2018	13.09.2018	RG	7			29,0	8,5		3		175																					3 new shoots
Ulv	Car_pal	Novel	5	5	2018	13.09.2018	RG	8			29,0	7,0		3		146																					
Ulv	Car_pal	Novel	5	5	2018	13.09.2018	RG	9			25,5	8,0		3		145																	29				1 new shoots
Ulv	Car_pal	Novel	5	5	2018	13.09.2018	RG	10			27,0	6,0		5		168																					1 new shoots
Ulv	Car_pal	Novel	6	3	2018	13.09.2018	SO	1			17,5	18,5		7		346																					aks borte (avblomstret)
Gud	Hyp_mac	Novel	3	3	2018	03.09.2018	RG	1			7,0	17,5	71	15		18	12																				
Gud	Hyp_mac	Novel	3	3	2018	03.09.2018	RG	2			9,0	19,5	145	4		14	11																				grazed
Gud	Hyp_mac	Novel	3	3	2018	03.09.2018	RG	3			9,0	18,0	190	9		17	10																				grazed, wilted
Gud	Hyp_mac	Novel	3	3	2018	03.09.2018	RG	4			7,5	16,5	165	6																							wilted + grazed
Gud	Hyp_mac	Novel	3	3	2018	03.09.2018	RG	5			7,5	7,5	225	38		21	11																				
Gud	Hyp_mac	Novel	3	3	2018	03.09.2018	RG	6			6,5	7,0																									grazed
Gud	Hyp_mac	Novel	3	3	2018	03.09.2018	RG	7			7,0	6,0	230	40		21	12																				
Ulv	Car_pal	Novel	6	3	2018	13.09.2018	SO	2			19,5	18,0		4		240																					
Ulv	Car_pal	Novel	6	3	2018	13.09.2018	SO	3			17,5	17,0		6		325																					
Ulv	Car_pal	Novel	6	3	2018	13.09.2018	SO	4			16,0	9,0		13		300																	34				
Ulv	Car_pal	Novel	6	3	2018	13.09.2018	SO	5			17,5	9,0		8		362																					
Gud	Suc_pra	Novel	3	3	2018	03.09.2018	RG	1			26,5	18,5		10	7+3	87	22	11																			
Gud	Suc_pra	Novel	3	3	2018	03.09.2018	RG	2			27,0	18,5		6		21	6																				
Gud	Suc_pra	Novel	3	3	2018	03.09.2018	RG	3			28,5	19,0		6		38	8																				
Gud	Suc_pra	Novel	3	3	2018	03.09.2018	RG	4			26,5	6,0		9		57	25																				
Gud	Suc_pra	Novel	3	3	2018	03.09.2018	RG	5			27,5	7,5		9		53	19																				
Gud	Hyp_mac	Novel	3	5	2018	03.09.2018	ELE	1			6,0	17,5	175	24		16	10																				
Gud	Hyp_mac	Novel	3	5	2018	03.09.2018	ELE	2			8,0	7,5	144	26		16	10																				
Gud	Suc_pra	Novel	3	5	2018	03.09.2018	ELE	1			18,5	18,0		12		105	29																				
Gud	Suc_pra	Novel	3	5	2018	03.09.2018	ELE	2			17,0	7,0		7		101	22																				
Gud	Suc_pra	Novel	3	5	2018	03.09.2018	ELE	3			19,0	7,0		17	9+8	67	16	8																			
Ulv	Car_pal	Novel	6	4	2018	13.09.2018	SO	1			28,0	19,0		8		427																					
Ulv	Car_pal	Novel	6	4	2018	13.09.2018	SO	2			28,5	18,0		4		287																					
Ulv	Car_pal	Novel	6	4	2018	13.09.2018	SO	3			26,0	16,5		4		369																					
Ulv	Car_pal	Novel	6	4	2018	13.09.2018	SO	4			26,0	15,5		8		327																					
Ulv	Car_pal	Novel	6	4	2018	13.09.2018	SO	5			28,0	16,0		7		376																					
Ulv	Car_pal	Novel	6	4	2018	13.09.2018	SO	6			26,0	9,0		7		185																	20				
Ulv	Car_pal	Novel	6	4	2018	13.09.2018	SO	7			27,5	9,0		6		160																					
Ulv	Car_pal	Novel	7	3	2018	12.09.2018	IA	1			18,0	19,0	13	408																		2	50	23+27			en klynge med to blomster
Ulv	Car_pal	Novel	7	3	2018	12.09.2018	IA	2			17,5	9,5	9	185																		2	47	18+29			
Ulv	Car_pal	Novel	7	3	2018	12.09.2018	IA	3			19,5	10,0	4	173																		0					
Ulv	Car_pal	Novel	7	3	2018	12.09.2018	IA	4			17,5	8,5	11	194																		1					en blomsterstand, men mangler topp
Gud	Hyp_mac	Novel	4	1	2018	03.09.2018	SO	1			8,0	19,0	285	140		27	17	3																			
Gud	Hyp_mac	Novel	4	1	2018	03.09.2018	SO	2			8,0	6,5	284	48		18	11	1						2													
Ulv	Car_pal	Novel	7	3	2018	12.09.2018	IA	5			18,5	7,5	4	185																		0					
Ulv	Car_pal	Novel	7	4	2018	12.09.2018	RG	1			7,0	17,0				5																					new shoot
Ulv	Car_pal	Novel	7	4	2018	12.09.2018	RG	2			8,5	16,0		5		198																					
Ulv	Car_pal	Novel	7	4	2018	12.09.2018	RG	3			9,0	18,0		4		255																					
Ulv	Car_pal	Novel	7	4	2018	12.09.2018	RG	4			5,5	7,5		4		248																					
Gud	Suc_pra	Novel	4	1	2018	03.09.2018	SO	1			27,0	16,5		16	8+8	120	23	17	8	9								8				1					1 flower stem, 2 flowers + 1 capsule
Gud	Suc_pra	Novel	4	1	2018	03.09.2018	SO	2			27,0	8,0		26	14+6+6	145	32											12	7	5		2					2 flower stem, 1 capsule in each
Ulv	Car_pal	Novel	7	4	2018	12.09.2018	RG	5			6,5	7,0				50																					new shoot
Ulv	Car_pal	Novel	7	4	2018	12.09.2018	RG	6			7,5	7,5		3		158												23									
Ulv	Car_pal	Novel	7	4	2018	12.09.2018	RG	7			8,5	6,0				21																					new shoot
Gud	Hyp_mac	Novel	6	3	2018	04.09.2018	ELE	1			8,0	17,5	240	60		19	8																				
Gud	Hyp_mac	Novel	6	3	2018	04.09.2018	ELE	2			7,0	7,5	504	116		29	14											5									
Gud	Suc_pra	Novel	6	3	2018	04.09.2018	ELE	1			28,0	18,0		39	11+6+6+6	90	19	32	(8+8)	6	10											3					
Gud	Suc_pra	Novel	6	3	2018	04.09.2018	ELE	2			27,5	7,5		14	8+6	102	24	10										1				1					
